C_Direction,C_lanes,C_free_speed,C_capacity,C_link_type,C_D_transport,C_D_tree,C_D_grass,C_D_farmland,C_D_building,C_D_sparseveg,C_D_water,C_800_deg_C,C_betw_800m,C_clo_800m,C_depth_800m,P_road,P_sidewalk,P_building,P_wall,P_fence,P_pole,P_traffic li,P_traffic si,P_vegetation,P_terrain,P_sky,P_person,P_rider,P_car,P_truck,P_bus,P_train,P_motorcycle,P_bicycle,CY_W_pop,CY_A_pop,CY_H_pop,CY_Spend,CY_A_0_14,CY_A_15_64,CY_A__65,CY_A_un,new_id
0.0014677722,0.0006545371,0.0009793009,9.6268406e-05,2.1736634e-05,-0.01514944,-0.00050240644,-0.000100925354,-0.0013302327,-0.012520207,-0.0047507817,-0.0030759482,9.56397e-05,0.0027415282,0.00069165404,0.0007327728,-0.0002134939,0.002006692,0.0011526563,-0.00421099,-0.003238494,-0.0013962054,0.00187625,-0.0046419757,0.0032758955,0.00060437847,0.008096837,-0.0022526605,-0.00036713478,0.0007791694,0.002870728,0.0009955154,-0.002655391,0.009587135,-0.00065017876,-0.0008389526,0.0028726757,-0.000740556,0.0015304894,-0.0018466125,-0.013609206,0.0005698109,0.00040979698,18954
0.0022908668,0.00049492985,-0.0019437175,0.00074995775,0.00022471671,-0.01739167,-0.0009971026,-8.656667e-05,0.0024127734,-0.007775091,0.009028677,-0.010744374,-0.0005151102,0.0028540434,0.0007778937,0.002900326,0.00018616968,0.0011733766,0.0042886212,-0.0042256177,-0.00014458944,-0.0009389481,0.0005215312,-0.0041190977,0.0033782977,0.00035068634,0.008153144,-0.00135647,0.00049757626,8.83411e-05,0.0015178474,0.0005947836,-0.0030719643,0.005703316,0.0023859406,-0.0005265142,0.0016617323,0.0034789671,0.00044325742,-0.0012244406,-0.005804438,0.00019388675,-0.0015099258,18955
2.333747e-05,0.00050978287,-0.0034685407,0.00013739361,0.0002782776,0.02023399,0.0020139194,-0.00022841617,-0.0028295584,-0.011045584,0.0014340691,0.008204121,-0.0008477272,-0.004730429,-0.0001901223,-0.0006514819,0.0012349254,-0.004104375,0.00033466527,-0.0002543303,-0.00029517777,-0.0007748707,-0.00108423,0.002491109,0.004409985,-0.0011516039,0.006285342,0.0006535886,-0.0010920217,-0.0050066137,0.00077408773,0.00016064971,-0.0022571397,0.0005329323,-0.00088685605,0.0013143795,0.0013291254,-0.00039743845,-0.0007135851,-0.0018516341,-0.001971033,6.6823595e-05,-0.0008787188,18964
4.7883495e-05,0.0005390579,-0.0033453524,0.00013829896,0.00027672423,0.02640282,0.00472912,-0.0002136237,0.00293691,-0.0071292184,0.0047580833,0.014357963,0.0007967593,-0.00513128,0.002343031,0.00024696812,0.0014940611,-0.0027695436,0.0005309864,-0.00033039556,-0.0005101099,-0.00067823404,-0.0016557522,0.002430293,0.0047792383,-0.0011571284,0.009858928,0.0006800336,-0.0010737083,-0.0040312535,0.00093678857,5.931806e-05,0.00074076105,0.00054400275,-0.00047863062,0.0010894836,0.0012252039,-0.0001456359,0.00035756134,-0.0017812385,-0.0016445363,0.002553364,-0.00086988334,18966
0.00067175605,0.00066451443,-0.0018779007,9.551163e-05,0.00011218947,-0.008469239,-0.0047487686,-2.6715494e-05,0.0030570463,-0.0045294287,-0.002015508,0.0029874637,0.0019964504,-0.003304827,-0.00015491707,0.0043388484,-0.0019306362,0.0008289776,0.005428751,9.0242356e-05,-0.0053988993,0.0031708486,-0.0006760371,-0.0005133732,0.002884958,-0.0019366082,0.00071146985,-0.0004905314,-4.3380845e-05,-0.0014887286,-0.0051130317,0.001694278,-0.0020055855,0.0005490672,0.0011665487,-0.0025596204,0.00033247238,0.0004669411,-0.0013184097,-0.0058392826,0.00020358185,-0.00032284157,-0.00023640344,18968
0.00040536947,0.00047263684,-0.0036887566,0.0001076277,0.0002753531,0.018584842,0.001894518,-0.00014891801,0.0011577496,-0.002240168,0.002089571,0.008440383,-0.0013786961,-0.0076884963,-0.0010173224,-0.0005594588,0.00017342731,-0.0035312662,0.00084644207,-0.00051448104,-0.0006694335,-0.0012581465,-0.0008295442,0.0015715557,0.002408136,-0.0012778328,0.006532946,0.0021263338,-0.0012235051,-0.0046162815,0.00088452693,-9.9689016e-05,-0.0022200092,6.339703e-05,0.00038606735,0.0041804085,0.0017997569,-0.0006577355,-0.00043719978,-0.0015926023,-0.002845536,-0.00064912334,-0.0018377341,18969
-0.002146399,-0.001946273,0.0030966485,-0.0009323981,7.051036e-05,0.0403064,0.00525837,-0.00015615605,0.0010100066,0.003024419,0.0024577796,-0.0031701575,-8.5625325e-05,0.0016041271,0.0008385814,0.0012312741,-0.00024278527,-0.0006637598,0.0012217994,0.0017508045,-0.00033266656,0.0012779905,0.00042545254,0.0004073968,7.154078e-05,-0.00013920187,-0.0023638192,-0.0020945368,0.003040686,-0.0022204055,0.0005345114,-0.00077427016,-0.0007922172,-0.00030894327,-7.6177654e-05,-0.0020506275,0.0017698557,-4.3731383e-05,-0.0030064776,-0.0008032556,-0.0004960132,0.00062076794,-0.00028268498,18997
0.0034234375,0.0003693432,-0.002143961,0.0006531469,8.29177e-05,-0.0018375829,-0.00014373336,-0.000114823524,0.0042847996,-0.0011546805,-0.0008172761,-0.00046232797,-0.00014282395,-0.0046428894,0.00055852626,-0.0005173768,-0.00044522664,0.0010596953,0.0011057354,0.0010309849,-0.003739992,-0.00086566247,0.0028627987,-0.0005553279,0.0010567395,-0.0017287881,0.00071257737,-0.0010367336,-0.00050046976,-0.002523102,-0.00018848125,-0.0012593414,-0.00094390666,-0.0005058195,-0.0012566071,2.7236736e-05,0.001612153,-0.0006885698,-0.0016666567,-0.0012229582,0.0009222115,0.0013528194,-0.00059858774,18998
0.002472212,0.0003687351,-0.0019052223,0.00022271715,0.00013738392,-0.033773694,-0.0010741225,-7.178034e-05,-0.0015793634,-0.0074090078,-0.002194713,-0.0038104297,0.0019964122,-0.003370225,-0.00029392503,0.0020677801,0.00028661013,0.0010947358,0.0049284794,-0.0063875285,0.0013272817,0.0019184158,0.0021700943,-0.0012791727,0.0013060956,-0.0031409478,-0.0041968143,-0.0006691385,0.00014523834,0.0010127404,-0.0031718272,-0.0020722966,-0.0027295833,-0.000301907,-0.005025624,-0.0004671692,0.0031358616,9.740273e-05,-0.0062408815,-0.001326426,0.0010807691,0.0047475435,-0.0015032295,18999
-0.0075344685,-0.0017020254,0.0010147567,-0.0007251879,-0.00019882372,-0.0068455213,-0.00031175514,-0.000111671965,0.004192495,-0.0069689965,-0.0005662095,-0.0023130584,-0.00013718088,-0.0035256248,-0.00022132054,0.0022708473,-0.00024524884,0.0002800127,0.0009277808,0.00014147512,-0.005181926,-0.0022536698,0.0013733195,-0.001078173,0.0018561459,-0.0014983616,0.0008591131,0.00053019804,0.00023287036,-0.003347006,-0.00016682905,-0.0058812057,-0.000972601,-0.00070323644,8.0816055e-05,-0.0023947053,0.0017030734,-0.00050213316,-0.0023550703,-0.001613438,0.0004772266,0.00066368247,-0.00040056033,19000
